NAME,TEXT,TRANSLATION,COMMENTS
Remap Header,Remapping Input for: ,正在重新绑定：,Shown when the player tries to remap in input in the Settings Menu
Remap Message,Press any button to remap this Input.,按下任意键以重新绑定。,Shown when the player tries to remap in input in the Settings Menu
Clear Header,Clearing Input for: ,正在清除按键：,Shown when the player tries to remap in input in the Settings Menu
Clear Message,Are you sure you want to clear this input?,,Shown when the player tries to remap in input in the Settings Menu
Title Screen Header,Return to the Title Screen?,,Shown when the player attempts to return to the title screen.
Title Screen Message,You may lose unsaved progress.,,Shown when the player attempts to return to the title screen.
Quit Game Header,Close the application?,,Shown when the player attempts to close the application.
Quit Game Message,You may lose unsaved progress.,,Shown when the player attempts to close the application.
Save Header,Save data to this slot?,,Shown when the player attempts to save on the Save Menu
Save Message,You will overwrite any data stored at this slot.,,Shown when the player attempts to save on the Save Menu
Delete Save Header,Delete save data from this slot?,,Shown when the player attempts to delete a save on the Save Menu
Delete Save Message,This cannot be undone.,,Shown when the player attempts to delete a save on the Save Menu
Load Save Header,Load saved data from this slot?,,Shown when the player attempts to load a save on the Save Menu
Load Save Message,You may lose unsaved progress.,,Shown when the player attempts to load a save on the Save Menu
Argument Start Header,Start ARGUMENT?,是否开始辩论？,Shown when the player is about to start an ARGUMENT during an investigation
Argument Start Message,Start an ARGUMENT with /x/?,是否开始与/x/辩论？,Shown when the player is about to start an ARGUMENT during an investigation
Argument No Profile,The Psychological Profile is incomplete.,心理档案未完成。,Shown when the player is about to start an ARGUMENT during an investigation. This message is added when the player hasn't completed the opponent's psychological profile.
Argument Fail Header,Argument Failed,辩论失败,Shown when the player fails an Argument against an opponent
Argument Fail Message,You failed to persuade your opponent...,,Shown when the player fails an Argument against an opponent
Final Fail Header,Dispositions Failed,,Shown when the player fails the final Argument against the Empress of Discord.
Final Fail Message,Your soul has been claimed by the Abyss...,你的灵魂已经归属深渊……,Shown when the player fails the final Argument against the Empress of Discord.
Delete Steam Header,Delete Workshop Item?,删除创意工坊项目？,Shown when the player tries to delete a Steam Workshop Item.
Act Break Header,Save your progress?,保存进度？,Shown when the game moves to the next session of a Case and prompts the player to save.
Act Break Message,Would you like to save your progress?,是否保存游戏进度？,Shown when the game moves to the next session of a Case and prompts the player to save.
New Game Header,Play Episode?,是否游玩章节？,Shown when the player attempts to start a Case from a fresh save file.
New Game Message,You are about to start \n/x/.,你将要开始游玩\n/x/,Shown when the player attempts to start a Case from a fresh save file.
Demo Episode Header,Episode Unavailable,章节尚未开放,Shown in the demo when the player attempts to start Cases 2-5.
Demo Episode Message,You must purchase the full game to play this episode.,你必须购买完整游戏才能游玩本章节。,Shown in the demo when the player attempts to start Cases 2-5.
