REFERENCE NAME,DISPLAY NAME,DESCRIPTION,TYPE,SCHOOL,INCANTATION,GESTURE,DURATION,CONCENTRATION,SERIES,TAG,TOKEN POSITION,BATTLE MAP SIZE,DISPLAY NAME TRANSLATION,DESCRIPTION TRANSLATION,TYPE TRANSLATION,SCHOOL TRANSLATION,INCANTATION TRANSLATION,GESTURE TRANSLATION,DURATION TRANSLATION,CONCENTRATION TRANSLATION,SERIES TRANSLATION,TAG TRANSLATION,TOKEN POSITION TRANSLATION,BATTLE MAP SIZE TRANSLATION,
Sandwich,,,,,,,,,,,,,,,,,,,,,,,,,
Horse,,,,,,,,,,,,,,,,,,,,,,,,,
Bear,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicular Manslaughter,Vehicular Manslaughter,"In the Kingdom of Wyverngarde, the average sentence for vehicular manslaughter is two years of imprisonment. There is no fine.",,,,,,,,,,,交通肇事过失致死,在维文加德王国，因交通肇事而过失致人死亡的，平均判处两年有期徒刑，不判处罚金。,,,,,,,,,,,
Flinhart Autopsy,Autopsy Report,"""Died at 1:12 AM after being stabbed from behind with a magical blade. Fatal wound shows heavy traces of <b>transmutation</b> magic.""",,,,,,,,,,,尸检报告,凌晨1点12分，死者死于魔法剑刃从背后造成的刺伤，致命伤口上呈现了大量<b>形变术</b>的痕迹。,,,,,,,,,,,
CelComp,Celeste's Spell Compendium,Celeste McCoy’s Spell Compendium. It contains the formula for only one spell: <b>Mage Blade</b>.,,,,,,,,,,,塞莱斯特的法术汇编,塞莱斯特·麦考伊的法术汇编。其中仅包含一条法术：<b>法术剑刃</b>。,,,,,,,,,,,
GarComp,Pierce's Spell Compendium,"Garrick Pierce's Spell Compendium. It contains the formulas for the following spells: Prestidigitation, Conjure Light, Conjure Water, Frost Wave, and Shape Liquid.",,,,,,,,,,,皮尔斯的法术汇编,加里克·皮尔斯的法术汇编。其中包含了以下法术：魔术戏法、祈愿光芒、造水术、霜波和形变液体。,,,,,,,,,,,
Occupation,Celeste's Occupation,"Celeste is a mercenary by trade. It's a little unexpected, but who am I to judge?",,,,,,,Occupation,,,,塞莱斯特的职业,塞莱斯特·麦考伊是一名雇佣兵。这有点出乎意料，但我又有什么资格评判呢？,,,,,,,职业,,,,
Occupation2,Celeste's Occupation,"Celeste McCoy learned magic so she could support her family. Apparently, many people will pay extra for a mercenary that can use magic.",,,,,,,Occupation,,,,塞莱斯特的职业,塞莱斯特·麦考伊学习魔法来支撑家里的开销。显然会魔法的雇佣兵能赚得更多。,,,,,,,职业,,,,
Sword,Celeste's Sword,"The alleged murder weapon. It's an ornately designed sword, but it has no magical properties.",,,,,,,,,,,塞莱斯特的剑,检方认为的凶器。这是一把设计精美的剑，但没有任何魔法属性。,,,,,,,,,,,
Sword2,Celeste's Sword,"The alleged murder weapon. It's an ornately designed sword, but it has no magical properties. Traces of <b>transmutation</b> magic were detected on it.",,,,,,,,,,,塞莱斯特的剑,检方认为的凶器。这是一把设计精美的剑，但没有任何魔法属性。其上被探查出<b>形变术</b>的魔法痕迹。,,,,,,,,,,,
Photo,Crime Scene Photo,A picture of Flinhart McCoy after he was murdered. It shows the traces of <b>transmutation</b> magic that were on the sword.,,,,,,,,,,,犯罪现场的照片,一张弗林哈特·麦考伊尸体的照片。上面显示了剑上存在的<b>形变术</b>的魔法痕迹。,,,,,,,,,,,
