REFERENCE NAME,DISPLAY NAME,DESCRIPTION,TYPE,SCHOOL,INCANTATION,GESTURE,DURATION,CONCENTRATION,SERIES,TAG,TOKEN POSITION,BATTLE MAP SIZE,DISPLAY NAME TRANSLATION,DESCRIPTION TRANSLATION,TYPE TRANSLATION,SCHOOL TRANSLATION,INCANTATION TRANSLATION,GESTURE TRANSLATION,DURATION TRANSLATION,CONCENTRATION TRANSLATION,SERIES TRANSLATION,TAG TRANSLATION,TOKEN POSITION TRANSLATION,BATTLE MAP SIZE TRANSLATION,
Mage Blade,"Mage Blade","For the duration of this spell, the edges of this object (usually a blade) become unnaturally sharp, making it more effective at slashing through tough material. While under the effects of this spell, the object emits a yellow radiant glow. The target object must be no larger than a 5ft cube.","","Transmutation","""Ar-kan""","None","While concentrating","Yes","","","","",
Conjure Light,"Conjure Light","For as long as the caster concentrates on this spell, a mote of magical light will be centered above their head. The colour of the light is chosen by the caster and can be changed at will for the spell's duration. This mote of light provides illumination up to 15ft of the caster (and no further).","","Transmutation","""Lux-o""","None","While concentrating","Yes","","","","",
Prestidigitation,"Prestidigitation","The caster creates a simple and harmless visual effect around their hand. This effect will last for as long as they maintain concentration on this spell.","","Evocation","None","A snap of the fingers","While concentrating","Yes","","","","",
Conjure Water,"Conjure Water","Causes water to magically flow out of the caster’s hand. This water will flow so long as the caster maintains concentration on the spell.","","Conjuration","""Aq-ui-o""","Outstretched Palm","Indefinitely","Yes","","","","",
Frost Wave,"Frost Wave","Anything caught within range is hit with a blast of extremely cold air. Liquids hit will be immediately frozen and organic life will immediately enter stages of hypothermia.","","Conjuration","None","Outstretch both hands","Instant","No","","","","",
Shape Liquid,"Shape Liquid","While concentrating on this spell, the caster can magically manipulate up to 10L of liquid and form it into complex shapes. At any time, the caster can choose to freeze the liquid and solidify its current shape. While frozen, the caster can also choose to make the liquid instantaneously melt.","","Transmutation","""Fig-aq-u-a""","Point finger at the target","While concentrating","Yes","","","","",
Mend Wounds,"Mend Wounds","Heals the wounds of the target over the casting time. Wounds on the target are magically healed without leaving any scars or bruises. This spell can’t restore missing limbs, nor can it revive someone who has already died.","","Necromancy","""Men-as""","Place hand on target","1 minute","No","","","","",
Illusory Disguise,"Illusory Disguise","Places an illusion on the target to completely change their visual appearance. The disguise moves with the target for the duration.

The disguise can make the target look 1ft larger or smaller. Elements hidden by the spell are made invisible. And elements created by the spell are purely visual. You cannot make physical contact with it.","","Illusion","""Ill-us-io""","None","1 hour","No","","","","",
Major Illusion,"Major Illusion","Creates a three-dimensional illusion. The illusion can take the form of any object or creature that can be contained in a 10ft cube. While concentrating, the caster can animate and move the image to a different location within range. The illusion is purely visual and can’t be physically touched.","","Illusion","""Mill-us-o""","None","While concentrating","Yes","","","","",
Revive,"Revive","Floods the target with life energy in an attempt to resuscitate them. It does not heal wounds sustained. Results aren't guaranteed. It cannot resuscitate someone who has been dead for more than a minute.","","Necromancy","""Viv-if-fy""","None","Instant","Yes","","","","",
Animate Corpse,"Animate Corpse","Reanimates the target using life energy, creating an undead minion for the duration. The minion follows the caster’s orders. But its intelligence is limited and it cannot speak. The minion can end the spell prematurely but will only do so if ordered to by the caster.

Once the spell has ended, the undead will return to being a dead body.","","Necromancy","""Nec-cross""","None","8 hours","No","","","","",
Necrotic Blight,"Necrotic Blight","Pulls all of the life energy from the target, resulting in instant death. This spell does not wound the target, nor does it leave any physical evidence (but it still leaves a magical trace).","","Necromancy","""Bligh-to""","Point index finger at target","Instant","No","","","","",
Send Message,"Send Message","For the duration of this spell, the caster projects their voice to communicate with a target. Anyone within a 30ft radius of the target can hear the caster’s voice. The caster can also hear sounds close to the target, allowing for two-way communication.

The target must be a person known to the caster. That person must also be conscious. Otherwise, the spell will fail. Alternatively, the target can be an object that is attuned to the caster’s magic.","","Conjuration","""Mal-um""","None","1 hour","No","","","","",
Familial Bond,"Familial Bond","The caster forms a magical unbreakable bond with the target creature, connecting them to the caster’s magic. While this bond exists, the caster can telepathically communicate with the target over any distance. The caster can also choose to see through the target’s eyes as long as they concentrate. Any spells that affect the caster will also affect the target creature and vice-versa. Lastly, the caster can also cast spells from the location of the target creature instead of their own location. ","","Divination","""Ret-er-rum""","None","Until either target dies","No","","","","",
Anti-Magic Field,"Anti-Magic Field","While concentrating on this spell, the caster forms a 10ft radius sphere that nullifies all magic within it. Any spell effect that enters the sphere instantly dissipates. And any mage that tries to cast a spell within this zone will fail to do so.","","Abjuration","""Cout-ter-i-a""","None","While concentrating","Yes","","","","",
Feign Death,"Feign Death","The caster must target a creature that’s already unconscious. While they concentrate on this spell, the target will appear to be dead. The target creature will stop breathing and their heart will stop beating. However, the life energies of this spell will keep them alive for the duration.","","Necromancy","""Fal-nor-ma""","None","While concentrating","Yes","","","","",
Invisibility,"Invisibility","One of the highest forms of illusion magic. This spell makes the target creature or object completely invisible. While invisible, the target will be completely transparent and undetectable visually. If targeting a creature, this spell will also affect anything that the creature is wearing or holding.","","Illusion","""O-kult-arr-ae""","Clap both hands together","1 hour","No","","","","",
Force Cage,"Force Cage","For the duration, the caster creates a magical 10ftx10ftx10ft cube around a target within 30ft of them. The walls of this cube are impenetrable and can’t be destroyed by anything. Not even by spells that can normally dispel spell effects. Furthermore, any attempts to magically teleport into or out of the cube will fail.

If there is more than one creature in the target’s space, they will be pushed away from the center of the cube.","","Abjuration","""For-zar-ay""","Point index finger","1 hour","No","","","","",
Contingent Spell,"Glyph of Contingency","When casting this spell, the caster must choose another spell they know. The caster casts that spell, but the contingent spell doesn’t come into effect. Instead, it takes effect when a certain condition (specified by the caster upon casting this spell) is fulfilled. The contingent spell takes effect immediately when that condition is fulfilled.","","Evocation","""Col-tin-jen""","The gesture of the contingent spell","24 Hours","No","","","","",
Sleep,"Sleep","The caster conjures a magical mist in the direction that they stretch their palm. This magical mist will travel up to 30ft before dissipating. Any creature who inhales the mist will fall into a magical slumber. An affected creature will be woken from their slumber if they are violently shaken or experience any sort of pain.","","Conjuration","""Som-nee-ah""","An outstretched palm","While concentrating","Yes","","","","",
Foresight,"Foresight","The caster invokes the ultimate form of <b>divination</b> magic to see brief glimpses of the near future. While this spell is active, the caster is able to sense danger seconds before it actually happens.","","Divination","""For-heim""","Form a triangle with both hands","24 hours","No","","","","",
Slow Fall,"Slow Fall","The caster counteracts the force of gravity affecting them, causing them to fall significantly slower when airborne for the duration.","","Transmutation","""Fe-thu-ra""","Point index finger downwards","1 hour","No","","","","",
Strike True,"Strike True","The caster increases their ability to predict the results of all of their actions for the duration. This is useful for the purposes of aiming or doing other activities that rely on dexterity and skill.","","Divination","""Non-op-ti-ma""","Make circle with fingers","While concentrating","Yes","","","","",
Detect Magic,"Detect Magic","While concentrating, the caster can see the normally invisible magical traces left by magic. Magical traces are created two times when a spell is cast. The first is created at the position of the caster when the spell is cast. The second is created when the spell effect resolves or dissipates. The caster can identify the school of magic of any trace by color.

Evocation: Red
Transmutation: Yellow
Conjuration: Cyan
Divination: Pink
Abjuration: White
Necromancy: Purple
Illusion: Green","","Divination","""Rep-er-i-o Ar-kaen-num""","None","While concentrating","Yes","","","","",
Stone Skin,"Stone Skin","The caster creates a thick layer of stone around the body of a target within 30ft. This stone layer will deflect and protect the target from any physical trauma. The stone layer can be slowly broken through continuous attacks, but as long as the caster concentrates on this spell, the stone layer will instantaneously repair itself.","","Transmutation","""Ter-pro-tec""","Create an X with both arms","1 hour","No","","","","",
Hold Creature,"Hold Creature","The caster completely restricts the movement of the target. While concentrating on this spell, the target will be unable to move any part of their body. Even subtle movements (such as the gestures required to cast certain spells) are impossible. As a result, the target will also be unable to move their mouth to speak.","","Evocation","""Ho-dl""","Point at the target","While concentrating","Yes","","","","",
Steelwind Strike,"Steelwind Strike","The caster strikes targets of their choice within a 40ft radius with a slashing force. Each slash has the might and power of a <b>Mage Blade</b>, and can cut through thick metal armour. It’s the ultimate spell of House Steelwind and its spell formula is a closely guarded secret.","","Evocation","""Vul-nus""","Point at the target","Instant","No","","","","",
Fire Bolt,"Fire Bolt","The caster launches a fiery projectile that’s hot enough to inflict third-degree burns. This projectile can travel 120ft without collision before its magic dissipates. Once it collides with something, it will set the object ablaze if it’s flammable.","","Evocation","""Bol-to""","Point index finger at the target","Instant","No","","","","",
Polymorph,"Polymorph","The caster transforms a target within 30ft of them into an animal. The animal can be any creature that can fit within a 2ftx2ftx2ft cube. For the duration, the target’s senses and intellect will also be changed to match that of the animal they are transformed into.","","Transmutation","""Drom-li""","Point index finger at the target","1 hour","No","","","","",
Dispel Magic,"Dispel Magic","Choose any magical effect within 120ft. The spell that is creating that effect immediately ends (unless the targeted spell is immune to being dispelled). However, this only ends the spell’s effects. It does not undo the effects of the spell. For example, dispelling a <b>Shape Liquid</b> on an affected liquid will only prevent the caster from further manipulating the liquid. It will not unfreeze the liquid or change its shape back to normal.","","Abjuration","""A-bu-ri-o""","Point finger at target","Instant","No","","","","",
