REFERENCE NAME,DISPLAY NAME,DESCRIPTION,OCCUPATION,AGE,ARCANE ART,ALIAS,QUOTE,DISPLAY NAME TRANSLATION,DESCRIPTION TRANSLATION,OCCUPATION TRANSLATION,AGE TRANSLATION,ARCANE ART TRANSLATION,ALIAS TRANSLATION,QUOTE TRANSLATION,
Asmodeus,Asmodeus,"",Lord of the Ninth,???,All,,,
Alaric,Alaric de Wyverngarde,"The youngest prince of Wyverngarde's royal family. He's somewhat of a spoiled brat and has a habit of using words without understanding their meaning. The difference between himself and Aster is night and day.",Prince,7,Evocation,Small Child,,
AriaC,Aria Steelwind,"",Prosecutor,18,Evocation,,,
Aria,Aria Steelwind,"A prosecutor from the nobility who hails from House Steelwind: one of the Four Pillar Families in Wyverngarde. She's the daughter of Grand General Lucio Steelwind, leader of Wyverngarde's military. It's hard to read her motivations, even with the Eye of Horus.",Prosecutor,18,Evocation,,,
ADress,Aria Steelwind,"",Prosecutor,18,Evocation,,,
Aster,Aster de Wyverngarde,"The Crown Prince of Wyverngarde's royal family and next in line to the throne. Despite his status, he seems to be a big admirer of me and Ms. Tymora. He appears to hate the injustices perpetuated by the nobility as much as I do.",Crown Prince|King,26,Conjuration,,,
Beatrice,Beatrice,"A mysterious woman who seems to be related to House Frega: one of the Four Pillar Families. She's currently working with Ms. Tymora to negotiate some kind of deal with William Frega.",Freelancer,23,Illusion,,,
Beatrice2,Beatrice,"The eldest sister of the Frega family. Through her thoughts, I saw that she's the true culprit behind William Frega's murder. I think… Ms. Tymora knows this and is still defending her. Am I really doing the right thing?",Freelancer,23,Illusion,,,
Beatrice3,Beatrice,"The eldest sister of the Frega family. I successfully proved that she murdered William Frega during her trial. Her soul now belongs to a demon known as ""The Empress of Discord"". I wish there was a way to help her.",Freelancer,23,Illusion,,,
BeatriceA,Beatrice,"",Freelancer,23,Illusion,,,
Catherine,Catherine Bellwether,"A professor who teaches magic at Wyverngarde's Imperial Academy. She's quite abrasive to just about everyone. She seems to have a particular disdain for commoners.",Professor,34,Illusion,,,
Cat,Queen,"",Cat,8,?!?!?!,That God-damned Cat,,
Celeste,Celeste McCoy,"The only daughter of Flinhart McCoy. She's cheerful and sweet… and also a little intimidating.",Bodyguard|Mercenary|Queen,19|,Transmutation,Celeste "Steelwind",,
Celeste2,Celeste McCoy,"The only daughter of the McCoy family. She was adopted by them when she was only an infant, and she has the ability to use magic. Could she have noble blood?",Bodyguard,19,Transmutation,,,
Celeste3,Celeste McCoy,"My personal bodyguard. She accompanies me everywhere to keep me safe. She's energetic and is really competitive. She seems to have an abnormally high strength despite her small figure. She's an adept fighter and has saved my life on multiple occasions.",Bodyguard,19,Transmutation,,,
Celeste4,Celeste McCoy,"My personal bodyguard and my closest confidante. She's cheerful and sweet <s>and beautiful</s>. She has this way of brightening my day, and I'm happy I get to work with her.",Bodyguard,19,Transmutation,,,
Celeste5,Celeste McCoy,"My personal bodyguard and my closest confidante… She's really the person I trust the most, and it's nice to be able to rely on someone. I always feel happier whenever she's around, and she always has this way of brightening the room she's in. She's an adept fighter and has saved my life more times than I can count. She looks really cool when she's fighting. Every fluid movement she makes looks effortless on her part. I get a little nervous whenever I look directly at her. It feels like I'm staring at the sun or a really radiant jewel or something. She always teases me when she catches me staring at her, but she never looks mad. I don't know.",Bodyguard,19,Transmutation,,,
Celeste6,Celeste McCoy,"<s>I THINK I MIGHT BE IN LOVE WITH HER! I THINK I'M IN LOVE WITH HER, AND I HAVE NO IDEA WHAT TO DO!  WE'RE LITERALLY TOGETHER ALL THE TIME, AND I CAN'T IMAGINE HOW MORTIFYING IT'D BE IF I TOLD HER ABOUT THIS AND SHE DIDN'T FEEL THE SAME! WHAT AM I THINKING?! SHE OBVIOUSLY DOESN'T SEE ME THAT WAY! SHE'S LITERALLY THE MOST BEAUTIFUL PERSON I'VE EVER MET! SHE OBVIOUSLY HAVE BETTER OPTIONS THAN ME! SHE'S MY COWORKER, AND THESE FEELINGS ARE COMPLETELY UNPROFESSIONAL! SHE'S MY BEST FRIEND! </s>

…She's my best friend. I like being around her. She makes me happy. I don't know what to do…",Bodyguard,19,Transmutation,,,
CDress,Celeste McCoy,"",Bodyguard,19,Transmutation,,,
Child,Child,"",???,???,???,Alma,,
Construct,Arcane Construct,"",???,???,???,,,
