REFERENCE NAME,TUTORIAL HEADER,TUTORIAL BODY,HEADER TRANSLATION,BODY TRANSLATION
Test,TEST TUTORIAL,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",TEST TUTORIAL,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum."
Argument,ARGUMENTS,"You've started an ARGUMENT. Defeat your opponent by lowering their CONFIDENCE. Picking the correct options will do damage to your opponent. However, picking the wrong options will do damage to <i>your</i> CONFIDENCE. Use context and clues to determine which option to pick.",争辩,
Elocution,ELOCUTIONS,"During ARGUMENTS, you'll sometimes be asked to pick one from three possible dialogue responses. The correct dialogue will depend on the context of your opponent's CLAIM and their PSYCHOLOGICAL PROFILE.",,
Present,PRESENT,"During ARGUMENTS, you'll sometimes be asked to PRESENT pieces of evidence in response to a CLAIM. Look at your opponent's claim carefully and PRESENT the item that contradicts it.",,
Interpret,INTERPRET,"During ARGUMENTS, your Eye of Horus will show you your opponent's thoughts and emotions after they make a CLAIM. Compare your opponent's thoughts to the CLAIM to pick the correct option.",,
Cross,CROSS-EXAMINATIONS,You've started CROSS-EXAMINING a witness. The key to each CROSS-EXAMINATION is to determine which part of the witness's testimony contradicts any of the items in your NOTES. Use the ← → arrows to carefully examine each statement in the witness's testimony. Identify the contradicting statement and PRESENT the item that contradicts it.,,
Press,PRESSING STATEMENTS,Sometimes the contradicting statement isn't always apparent in a witness's testimony. You can PRESS statements during a CROSS-EXAMINATION to gain more information about that specific statement. PRESSING can sometimes reveal new statements or evidence you can use.,追问证言,
Investigation,INVESTIGATIONS,"You've begun your investigation into the crime. You'll need to collect clues and evidence by MOVING to different locations, TALKING to witnesses, and EXAMINING locations of importance.",,
Deduce,DEDUCTIONS,"During investigations, you'll sometimes go over all that you've learned to formulate DEDUCTIONS. Tyrion will think through the case and raise STATEMENTS that must be answered. Use the arrows to construct a sentence that responds to the STATEMENT. While more than one response may be technically true, only one response will be meaningful.",,
Assistance,ASSISTANCE,"During your investigation, you can TALK to your mentor to get a clue on where to go next. Feel free to do this if you ever feel lost or stuck. In future cases, you may receive assistance from a certain mercenary.",援助,
Psych,PSYCHOLOGICAL PROFILES,"You'll occasionally need to ARGUE against people and PERSUADE them to cooperate with your investigation. PSYCHOLOGICAL PROFILES help you in those ensuing ARGUMENTS. They give you information about your opponent and help you understand which options to pick.


You can fill a person's PSYCHOLOGICAL PROFILE by TALKING to them or PRESENTING them certain items.",,
Eye,EYE OF HORUS,You've activated a new ability through the Eye of Horus. You can temporarily PROJECT items into the witness's mind and read their thoughts about it. These thoughts can sometimes reveal new information and grant you INSIGHT. Fill the INSIGHT GAUGE to proceed.,,
