id,node,text,translation
line:0b5017f,CelesteInvest,Noblewoman: How [i]dare[/i] you insinuate such a thing!,
line:0d7d41e,CelesteInvest,CDress: I-[p/][s/]I wasn't [i]trying[/i] to insult you![p/][s/] I just—!,
line:00f223f,CelesteInvest,"Noblewoman: Enough![p/] If you try to speak with me again,[p/] I'll have you arrested for harassment!",
line:0672572,CelesteInvest,The noblewoman stormed off in a huff.[p/] Celeste just let out an exhausted sigh.,
line:09dd0f5,CelesteInvest,Every conversation she'd tried hadn't gone any differently.,
line:0c90764,CelesteInvest,CDress: ...This isn't working.,
line:0241092,CelesteInvest,ADress: ...I don't think asking them like that will be very effective.,
line:0ea286a,CelesteInvest,CDress: What?,
line:0915fa6,CelesteInvest,ADress: Did you expect anyone here to be truthful with you?,
line:09bd69a,CelesteInvest,ADress: You're essentially asking them if they engaged in adultery.,
line:0d65112,CelesteInvest,"CDress: Oh...[p/] Hey, Aria.",
line:0a62f9a,CelesteInvest,ADress: I'm surprised to see you here.,
line:00e1afb,CelesteInvest,"ADress: ...You're not ""party crashing"", are you?",
line:06afabc,CelesteInvest,CDress: Of course not![p/][s/] I came here with Ruby and Tyrion!,
line:005b3da,CelesteInvest,"ADress: ...That honestly just raises more questions,[p/] but I'll take your word for it.",
line:0b09beb,CelesteInvest,CDress: ...,
line:039128c,CelesteInvest,"ADress: I don't know if it's any of my business,[p/] but you should think about whether this is what you truly want.",
line:0ed216b,CelesteInvest,CDress: What...?,
line:080364e,CelesteInvest,"ADress: I understand wanting to find out more about yourself,[p/] but getting entangled in the aristocracy will only bring you misery.",
line:0b197ba,CelesteInvest,ADress: ...I should know.,
line:04c9e61,CelesteInvest_2,CDress: ...,
line:0959fab,CelesteInvest_2,CDress: I just want to know more about where I came from.[p/] It might help me understand all this...[p/] weirdness inside me.,
line:025655a,CelesteInvest_2,ADress: ...I don't think you're weird at all.[p/] I quite enjoy your company.,
line:08cd53a,CelesteInvest_2,CDress: Aw...[p/] Really?,
line:0c1e110,CelesteInvest_2,ADress: I'm sure Mr. Cuthbert feels the same way.,
line:0a84b3b,CelesteInvest_2,CDress: ...Really?,
line:05415c8,CelesteInvest_2,ADress: ...Is something wrong?,
line:0d9528e,CelesteInvest_2,CDress: N-[p/][s/]No...[p/] It's just that—,
line:0391356,CelesteInvest_2,"CDress: ...Actually,[p/] what do [i]you[/i] think about Tyrion, Aria?",
line:0eba783,CelesteInvest_2,"ADress: Well, he's a remarkable attorney.[p/] His deductive skills are incredible.",
line:0fa6ba7,CelesteInvest_2,"ADress: Frankly,[p/] I'm a little envious of his talent.[p/] I'm loath to admit that Ruby Tymora has taught him well.",
line:0c678dd,CelesteInvest_2,"CDress: I meant as a [i]person[/i], Aria.",
line:0abd14b,CelesteInvest_2,ADress: ...I only know him in a professional capacity.,
line:0906928,CelesteInvest_2,CDress: But don't you notice how much he cares about people?,
line:0ca940e,CelesteInvest_2,ADress: I suppose he is quite dedicated to his job.,
line:0153164,CelesteInvest_2,CDress: But it's not just a job to him.[p/] He [i]really[/i] cares about his clients and helping them.,
line:0493c6b,CelesteInvest_2,CDress: It doesn't matter how much danger he puts himself in.[p/] It doesn't matter who threatens him.,
line:01bff85,CelesteInvest_2,"CDress: He just keeps going,[p/] and it's honestly kind of annoying.",
