REFERENCE NAME,DISPLAY NAME,DESCRIPTION,OCCUPATION,AGE,ARCANE ART,ALIAS,QUOTE,DISPLAY NAME TRANSLATION,DESCRIPTION TRANSLATION,OCCUPATION TRANSLATION,AGE TRANSLATION,ARCANE ART TRANSLATION,ALIAS TRANSLATION,QUOTE TRANSLATION,
Asmodeus,Asmodeus,,Lord of the Ninth,???,All,,,阿斯摩蒂斯,,第九层领主,？？？,全部,,,
Alaric,Alaric de Wyverngarde,The youngest prince of Wyverngarde's royal family. He's somewhat of a spoiled brat and has a habit of using words without understanding their meaning. The difference between himself and Aster is night and day.,Prince,7,Evocation,Small Child,,阿拉里克·维文加德,,王子,7,塑能术,小孩子,,
AriaC,Aria Steelwind,,Prosecutor,18,Evocation,,,阿莉亚·斯蒂尔文德,,检察官,18,塑能术,,,
Aria,Aria Steelwind,"A prosecutor from the nobility who hails from House Steelwind: one of the Four Pillar Families in Wyverngarde. She's the daughter of Grand General Lucio Steelwind, leader of Wyverngarde's military. It's hard to read her motivations, even with the Eye of Horus.",Prosecutor,18,Evocation,,,阿莉亚·斯蒂尔文德,,检察官,18,塑能术,,,
ADress,Aria Steelwind,,Prosecutor,18,Evocation,,,阿莉亚·斯蒂尔文德,,检察官,18,塑能术,,,
Aster,Aster de Wyverngarde,"The Crown Prince of Wyverngarde's royal family and next in line to the throne. Despite his status, he seems to be a big admirer of me and Ms. Tymora. He appears to hate the injustices perpetuated by the nobility as much as I do.",Crown Prince|King,26,Conjuration,,,阿斯特·维文加德,,,26,召唤术,,,
Beatrice,Beatrice,A mysterious woman who seems to be related to House Frega: one of the Four Pillar Families. She's currently working with Ms. Tymora to negotiate some kind of deal with William Frega.,Freelancer,23,Illusion,,,,,自由职业者,23,幻象术,,,
Beatrice2,Beatrice,"The eldest sister of the Frega family. Through her thoughts, I saw that she's the true culprit behind William Frega's murder. I think… Ms. Tymora knows this and is still defending her. Am I really doing the right thing?",Freelancer,23,Illusion,,,,,自由职业者,23,幻象术,,,
Beatrice3,Beatrice,"The eldest sister of the Frega family. I successfully proved that she murdered William Frega during her trial. Her soul now belongs to a demon known as ""The Empress of Discord"". I wish there was a way to help her.",Freelancer,23,Illusion,,,,,自由职业者,23,幻象术,,,
BeatriceA,Beatrice,,Freelancer,23,Illusion,,,,,自由职业者,23,幻象术,,,
Catherine,Catherine Bellwether,A professor who teaches magic at Wyverngarde's Imperial Academy. She's quite abrasive to just about everyone. She seems to have a particular disdain for commoners.,Professor,34,Illusion,,,凯瑟琳·贝尔维瑟,,教授,34,幻象术,,,
Cat,Queen,,Cat,8,?!?!?!,That God-damned Cat,,女皇,,猫猫,8,？！？！？！,,,
Celeste,Celeste McCoy,The only daughter of Flinhart McCoy. She's cheerful and sweet… and also a little intimidating.,Bodyguard|Mercenary|Queen,19|,Transmutation,"Celeste ""Steelwind""",,塞莱斯特·麦考伊,,,19|,形变术,塞莱斯特·“斯蒂尔文德”,,
Celeste2,Celeste McCoy,"The only daughter of the McCoy family. She was adopted by them when she was only an infant, and she has the ability to use magic. Could she have noble blood?",Bodyguard,19,Transmutation,,,塞莱斯特·麦考伊,,贴身护卫,19,形变术,,,
Celeste3,Celeste McCoy,My personal bodyguard. She accompanies me everywhere to keep me safe. She's energetic and is really competitive. She seems to have an abnormally high strength despite her small figure. She's an adept fighter and has saved my life on multiple occasions.,Bodyguard,19,Transmutation,,,塞莱斯特·麦考伊,,贴身护卫,19,形变术,,,
Celeste4,Celeste McCoy,"My personal bodyguard and my closest confidante. She's cheerful and sweet <s>and beautiful</s>. She has this way of brightening my day, and I'm happy I get to work with her.",Bodyguard,19,Transmutation,,,塞莱斯特·麦考伊,,贴身护卫,19,形变术,,,
