NAME,TEXT,TRANSLATION,COMMENTS
C1ConmanArg1,You’ll be taken to the barracks.,,"Claim during the tutorial ARGUMENT against the ""Knight"" in Case I"
C1ConmanArg2,Pay the fine for your crimes!,,"Claim during the tutorial ARGUMENT against the ""Knight"" in Case I"
C1ConmanArg3,I'll use violence if I have to!,,"Claim during the tutorial ARGUMENT against the ""Knight"" in Case I"
C1OrymArg1,Ruby Tymora is a crooked lawyer.,鲁比·泰摩拉是个坏到骨子里的律师,Claim during the ARGUMENT against Orym in Case I
C1OrymArg2,You’re just another crook.,你和她一样，也是个烂到骨子里的律师,Claim during the ARGUMENT against Orym in Case I
C1OrymArg3,I have no reason to trust you.,,Claim during the ARGUMENT against Orym in Case I
C1TavernDeduce1,How did Flinhart move before he died?,,DEDUCTION statement in the McCoy Tavern in Case I
C1TavernDeduce1A,Flinhart|The Killer|Celeste|Tyrion,,DEDUCTION field in the McCoy Tavern in Case I
C1TavernDeduce1B,did not|did,,DEDUCTION field in the McCoy Tavern in Case I
C1TavernDeduce1C,move|scream|fight|die,,DEDUCTION field in the McCoy Tavern in Case I
C1TavernDeduce1D,during the attack|during the argument|after the arrest|last week,,DEDUCTION field in the McCoy Tavern in Case I
C1TavernDeduce2,How did the bottle shatter?,,DEDUCTION statement in the McCoy Tavern in Case I
C1TavernDeduce2A,Flinhart|The Killer|Celeste|Tyrion,,DEDUCTION field in the McCoy Tavern in Case I
C1TavernDeduce2B,dropped|attacked|hid|fled,,DEDUCTION field in the McCoy Tavern in Case I
C1TavernDeduce2C,the bottle|the murder weapon|the blood|the tavern,,DEDUCTION field in the McCoy Tavern in Case I
C1TavernDeduce2D,during the attack|during the argument|after the arrest|yesterday,,DEDUCTION field in the McCoy Tavern in Case I
C1TavernDeduce3,What was the state of the crime scene?,,DEDUCTION statement in the McCoy Tavern in Case I
C1TavernDeduce3A,The crime scene|The bottle|The kitchen|The killer,,DEDUCTION field in the McCoy Tavern in Case I
C1TavernDeduce3B,wasn’t|was,,DEDUCTION field in the McCoy Tavern in Case I
C1TavernDeduce3C,lit|destroyed|shattered|attacked,,DEDUCTION field in the McCoy Tavern in Case I
C1TavernDeduce3D,by the lamps|by Flinhart|by the Inquisition|by Celeste,,DEDUCTION field in the McCoy Tavern in Case I
C1CelesteArg1,He’s always hated magic. There’s no reason behind it.,,Claim during the ARGUMENT against Celeste in Case I
C1CelesteArg2,It was selfish of me to learn magic.,,Claim during the ARGUMENT against Celeste in Case I
C1CelesteArg3,He was only thinking about how I betrayed him!,,Claim during the ARGUMENT against Celeste in Case I
C1GarrickClaim,None of my spells could be used to stab Flinhart.,,Claim during the final trial in Case I
C1GarrickArg1,I saw the murder! I witnessed everything!,,Claim during the final ARGUMENT against Garrick in Case I
C1GarrickArg2,She was holding a blood-soaked sword!,,Claim during the final ARGUMENT against Garrick in Case I
C1GarrickArg3,There is no evidence of a liquefied weapon at the crime scene.,,Claim during the final ARGUMENT against Garrick in Case I
C2DungeonDeduce1,How does the evidence implicate Wallace?,,DEDUCTION statement in the Dunegons in Case II
C2DungeonDeduce1A,A magical trace|A bloody weapon|A rancid smell|A witnes,,DEDUCTION field in the Dunegons in Case II
C2DungeonDeduce1B,of necromancy|of alchemy|of illusion|of steel|from the academy,,DEDUCTION field in the Dunegons in Case II
