id,node,text,translation
line:0b9159a,Cemetery_Examine,Player: Emily,
line:015a533,Cemetery_Examine,It was the grave of Emily Grant—[p/]such a shame that she died so young.,
line:06f3f19,Cemetery_Examine,I briefly paid my respects.,
line:00000d9,Cemetery_Examine,It was the grave that Eris was attending to earlier.,
line:0962936,Cemetery_Examine,"The name on the stone said “Emily Grant”,[p/] and her lifetime appears to be awfully short.",
line:08be1b7,Cemetery_Examine,She must have only been twelve years old when she died.,
line:083be08,Cemetery_Examine,Player: Grave,
line:05578c7,Cemetery_Examine,It was a grave for an individual that I didn't know.,
line:060b029,Cemetery_Examine,"Out of respect,[p/] it'd be best to leave it undisturbed.",
line:0766bae,Cemetery_Examine,Player: Back,
line:0f433f0,Cemetery_Talk,Player: The Trial,
line:0395ffc,Cemetery_Talk,ERIS: That was my first time watching a court trial.,
line:0048d7b,Cemetery_Talk,ERIS: You were truly remarkable.,
line:0d77b86,Cemetery_Talk,TYRION: ...Thank you.[p/] Were you in the gallery?,
line:0857029,Cemetery_Talk,ERIS: I’ve always enjoyed watching physical battles [p/]in the theatre.,
line:0a0e114,Cemetery_Talk,ERIS: But I see now that battles of wits can be just as entertaining to watch.,
line:0f41705,Cemetery_Talk,TYRION: “Entertaining”?,
line:00c8766,Cemetery_Talk,"CELESTE: Yeah,[p/] I know what you mean.",
line:0bfcdd8,Cemetery_Talk,"CELESTE: You see the odds are stacked against him,[p/] but then he suddenly pulls out this crazy deduction that takes the whole trial back.",
line:094d90d,Cemetery_Talk,TYRION: I’ve...[p/] never really thought of it like that...,
line:0fc07f5,Cemetery_Talk,ERIS: But I’m sure it’s far more entertaining to be the one [i]making[/i] the deductions.,
line:014c50c,Cemetery_Talk,TYRION: I’m...[p/] not really sure what you mean.,
line:074f1ff,Cemetery_Talk,TYRION: I practice law so that I can help those persecuted by the justice system.,
line:0ae490b,Cemetery_Talk,"TYRION: I don’t really do it to ""entertain"" myself.",
line:0503923,Cemetery_Talk,ERIS: But is that really true?,
line:0c8dd63,Cemetery_Talk,"ERIS: Don’t you find the experience even the least bit entertaining, Tyrion?",
line:0393da3,Cemetery_Talk,TYRION: Um...[p/] I wouldn’t really put it that way.,
line:0fce568,Cemetery_Talk,ERIS: You’re far too modest.[p/] You save people from the clutches of death.,
line:0436176,Cemetery_Talk,"ERIS: To your clients,[p/] you might as well be a knight in shining armor.",
line:0bc58e2,Cemetery_Talk,Eris: ...,
line:07191d9,Cemetery_Talk,"Eris: I know you're looking for it,[p/] but apparently those new operating systems don't like it when I peek at your real name.",
line:0307bd3,Cemetery_Talk,"Eris: I'm all for a bit of fun,[p/] but that's not worth blue-screening people.",
line:02d0e59,Cemetery_Talk,Tyrion: ...What?,
line:0bc132a,Cemetery_Talk,Eris: Don't worry about it.,
line:02d28ed,Cemetery_Talk,Player: Illusion Magic,
line:0a3bc83,Cemetery_Talk,"TYRION: Earlier,[p/] you said that you were studying [b]illusion[/b] magic.",
line:0de7cc4,Cemetery_Talk,ERIS: I am.[p/] Did you want to ask me about the prosecution’s theory?,
line:098e2f5,Cemetery_Talk,"TYRION: ...Yes, actually.[p/] How did you know?",
line:039622d,Cemetery_Talk,ERIS: Disguising an undead with an illusion is definitely possible.,
line:05a95ea,Cemetery_Talk,"ERIS: As Lady Steelwind said,[p/] [b]Illusory Disguise[/b] would be the best spell to use for that.",
line:0c5d9a5,Cemetery_Talk,TYRION: What if someone created a freestanding illusion?,
line:031f7cd,Cemetery_Talk,TYRION: We know that Wallace didn’t animate and disguise the professor’s corpse.,
line:017e23f,Cemetery_Talk,"TYRION: So,[p/] what if the illusion wasn’t disguising [i]anything[/i]?",
line:0057144,Cemetery_Talk,TYRION: Maybe someone created a freestanding illusion of Bellwether walking around?,
line:061e56e,Cemetery_Talk,"ERIS: For something like that,[p/] one would probably use [b]Major Illusion[/b].",
line:068d32c,Cemetery_Talk,Player: Major Illusion,
line:00fcc53,Cemetery_Talk,TYRION: Hm...,
line:023d693,Cemetery_Talk,CELESTE: What is it?,
line:0dc17ff,Cemetery_Talk,TYRION: I don't think [b]Major Illusion[/b] is what we’re looking for.,
line:0ecf9b4,Cemetery_Talk,TYRION: Do you remember what Jan said?,
line:0a845a5,Cemetery_Talk,JAN: I was cleaning a mess in the hallways.,
line:0ecdd2c,Cemetery_Talk,JAN: Bellwether knocked over a vase...[p/] And there were shards and dirt everywhere.,
line:0b4ec2d,Cemetery_Talk,"TYRION: If the “Bellwether” that Jan saw was a Major Illusion,[p/] then she couldn’t have knocked over that vase.",
line:0f68adc,Cemetery_Talk,TYRION: Illusions created by that spell don’t have any mass.,
line:09e07a6,Cemetery_Talk,ERIS: I see.[p/] How perceptive of you.,
line:0a4508e,Cemetery_Talk,CELESTE: Aren’t there any other [b]illusion[/b] spells that have mass?,
line:0a0b334,Cemetery_Talk,ERIS: No.[p/] All known [b]illusion[/b] spells in Wyverngarde can only recreate visual and auditory sensations.,
line:0c0f60e,Cemetery_Talk,ERIS: None of those spells can create something that someone can touch.,
line:0afc7b6,Cemetery_Talk,CELESTE: So that means that someone disguised[p/] [i]something[/i] to make it look like Bellwether.,
line:0cd4bd2,Cemetery_Talk,Celeste: ...,
line:052a414,Cemetery_Talk,"ERIS: Why the look of suspicion, Celeste?",
line:086d8a0,Cemetery_Talk,"CELESTE: S-[p/][s/]Sorry,[p/][s/] I wasn’t-!",
line:0121750,Cemetery_Talk,ERIS: Calm yourself.[p/] I was only joking.,
line:0a45747,Cemetery_Talk,ERIS: I don’t blame you for considering every possibility.,
line:004d9d5,Cemetery_Talk,"ERIS: In fact,[p/] I’m flattered you think I’m capable of pulling off such an elaborate ruse.",
line:0c3b81c,Cemetery_Talk,CELESTE: ...,
line:00c51a3,Cemetery_Talk,"TYRION: ...Anyways,[p/] this [i]does[/i] tell us one important thing.",
line:0487a51,Cemetery_Talk,ERIS: What’s that?,
line:0aa5298,Cemetery_Talk,TYRION: The “Bellwether” that Jan saw had a physical mass to it.,
line:0e1b3a5,Cemetery_Talk,TYRION: It wasn’t a freestanding illusion.[p/] It was someone disguised as her.,
line:0c26450,Cemetery_Talk,Player: Gravestone,
line:05b3410,Cemetery_Talk,"ERIS: Hm...[p/] It’s quite a shame, isn’t it?",
line:0d32539,Cemetery_Talk,Eris looked pensively towards the gravestone.,
line:06537ee,Cemetery_Talk,"The name on the stone said “Emily Grant”,[p/] and her lifetime appeared to have been awfully short.",
line:0ceff68,Cemetery_Talk,She must have only been twelve years old when she died.,
line:0ca1027,Cemetery_Talk,TYRION: S-[p/]Sorry for interrupting you...[p/] Was she someone you knew?,
line:0fce2cd,Cemetery_Talk,ERIS: I’m actually here on Wallace’s behalf.,
line:06f80ba,Cemetery_Talk,CELESTE: Wallace knew her?,
line:04c639c,Cemetery_Talk,ERIS: Wallace joined the academy as part of a program run by Headmaster Redmond.,
line:0e765f7,Cemetery_Talk,"ERIS: At the time,[p/] the headmaster was reaching out to mages among the commonfolk.",
line:0b91110,Cemetery_Talk,ERIS: He had started a program to admit them to the academy through a scholarship program.,
line:0156710,Cemetery_Talk,ERIS: Both Emily and Wallace were among those mages.,
line:020cd68,Cemetery_Talk,CELESTE: Wow...[p/] That must have been an amazing opportunity for them.,
line:05667c1,Cemetery_Talk,"ERIS: The truth is,[p/] neither of them actually cared about learning magic.",
line:014133c,Cemetery_Talk,ERIS: The real problem was that Emily had a deadly illness.,
line:084b4ac,Cemetery_Talk,"ERIS: She and Wallace were poor orphans,[p/] and they obviously didn’t have the resources to treat it.",
line:07b8fa6,Cemetery_Talk,ERIS: But if they enrolled in the academy...,
line:036837c,Cemetery_Talk,TYRION: The academy would be obligated to give her medical treatment.,
line:01e0b83,Cemetery_Talk,ERIS: The Imperial Academy teaches the best mages in the kingdom.,
line:088d85f,Cemetery_Talk,ERIS: They thought that curing her illness would be an easy task for the academy’s healers.,
line:003094f,Cemetery_Talk,"ERIS: ...But they were mistaken, I’m afraid.",
line:01d86b5,Cemetery_Talk,"ERIS: I’m sure you know this by now,[p/] but healing spells can only treat wounds.[p/] They can’t cure illnesses.",
line:0e91b3e,Cemetery_Talk,"ERIS: Emily’s condition only got worse over the years,[p/] and eventually,[p/] she succumbed to her illness.",
line:06c165a,Cemetery_Talk,ERIS: Wallace was furious.[p/] He didn’t understand why the kingdom was outlawing magic that could save lives.,
line:007f1d6,Cemetery_Talk,TYRION: ...And that’s why he decided to learn it himself.,
line:03f0105,Cemetery_Talk,ERIS: Yes.[p/] The headmaster was inspired by Wallace’s resolve.,
line:01fe07c,Cemetery_Talk,ERIS: He gave him access to the academy's forbidden tomes of [b]necromancy[/b].,
line:0738af7,Cemetery_Talk,"ERIS: And with the headmaster's guidance,[p/] Wallace learned the spells that he knows today.",
line:000976f,Cemetery_Talk,"CELESTE: So, that’s why...",
line:09e2d51,Cemetery_Talk,ERIS: It was supposed to stay a secret between him and the headmaster.,
line:05c8189,Cemetery_Talk,ERIS: ...But I’m sure you know how that turned out.,
line:0c75202,Cemetery_Talk,ERIS: ...But I’m sure you know how that turned out.,
line:07983fb,Cemetery_Talk,Player: BACK,
line:0fa645a,Cemetery_Present,Player: Runestone,
line:02a9564,Cemetery_Present,Eris: Seriously?[p/] You're showing me the badge now?,
line:04d1194,Cemetery_Present,"Tyrion: ""Badge""?[p/] It's an Attorney's Runestone.",
line:019b7f3,Cemetery_Present,"Eris: We're really threading the line, aren't we?",
line:04fb43f,Cemetery_Present,Eris: Are you going to make a habit of showing this thing to everyone you meet?,
line:0278b74,Cemetery_Present,Tyrion: I-[p/][s/]I just think it's neat.,
line:0d3f77f,Cemetery_Present,Player: Tyrion,
line:0a76dc1,Cemetery_Present,"Eris: I wasn't quite sure what to make of you at first,[p/] but you are truly remarkable.",
line:0313279,Cemetery_Present,Tyrion: Thanks...[p/] I think?,
line:0749271,Cemetery_Present,Eris: I quite enjoyed watching you battle Lady Steelwind.,
line:0c861bf,Cemetery_Present,Eris: I only hope the climax lives up to my expectations.,
line:0143ac2,Cemetery_Present,Player: Celeste,
line:03d3d03,Cemetery_Present,"Eris: That's a fancy-looking sword, Celeste.",
line:0660b37,Cemetery_Present,Eris: Is it from the Eastern Kingdoms?,
line:0bbaf8f,Cemetery_Present,"Celeste: Y-[p/]Yes, actually.",
line:090440b,Cemetery_Present,Celeste: How did you know?,
line:0802529,Cemetery_Present,Eris: I've encountered a few weapons from there before.,
line:0482876,Cemetery_Present,Eris: They have a unique style that's easy to recognize.,
line:0d5ce26,Cemetery_Present,Player: Aria,
line:02a6ecd,Cemetery_Present,Eris: Lady Steelwind is really something.,
line:0217a38,Cemetery_Present,Tyrion: Yeah.[p/] I feel like she's always one step ahead of me.,
line:0deaa55,Cemetery_Present,Eris: But she [i]does[/i] have a habit of relenting when she realizes she's wrong.,
line:0a4dd9a,Cemetery_Present,Eris: I think you deserve a worthier adversary.,
line:07218d2,Cemetery_Present,"Tyrion: I mean...[p/] She can be a pain sometimes,[p/] but I'm glad that she pursues justice even if it means she loses.",
line:0670ede,Cemetery_Present,It was strange...[p/] I would've never seen myself holding such high respect for a noble.,
line:05d4617,Cemetery_Present,"Eris: Anyways,[p/] I wonder what would drive a noble like her into becoming a lowly prosecutor.",
line:08ffe63,Cemetery_Present,Eris: I'd love to know the story behind that.,
line:0aa2faa,Cemetery_Present,Player: Eris,
line:08957d5,Cemetery_Present,Tyrion: We know that Wallace was accepted through Redmond's program...,
line:06ee94b,Cemetery_Present,"Tyrion: But what about you, Eris?",
line:0ae364b,Cemetery_Present,Eris: Are you trying to ask me if I'm a noble bastard?,
line:08ae46e,Cemetery_Present,"Tyrion: S-[p/]Sorry, I didn't mean-",
line:0f1bf0d,Cemetery_Present,Eris: No need to apologize.,
line:09be314,Cemetery_Present,"Eris: Although,[p/] the answer to that question is a bit...[p/] complicated.",
line:026690e,Cemetery_Present,"Eris: My family is quite wealthy, but I wouldn't consider them a part of the nobility.",
line:02bd25c,Cemetery_Present,Hm...[p/] Her family must've been part of a guild or something.,
line:0c701a7,Cemetery_Present,Eris: I would say it's more like several circles.,
line:06afcb8,Cemetery_Present,Player: Catherine,
line:02bdb66,Cemetery_Present,Eris: Catherine Bellwether wasn't the best person.,
line:00ef808,Cemetery_Present,Eris: She constantly used her authority to belittle and torment people.,
line:04a1403,Cemetery_Present,Eris: I'm sure the world is better off without her in it.,
line:0e16a9e,Cemetery_Present,"Tyrion: T-[p/]That's extremely blunt,[p/] Eris...",
line:0d1d6d5,Cemetery_Present,But I couldn't exactly disagree with her.,
line:0a8f444,Cemetery_Present,Eris: I have no interest in indulging those in power who are unworthy of it.,
line:020b97f,Cemetery_Present,Player: Wallace,
line:057db98,Cemetery_Present,"Eris: It's strange, really.",
line:0cab4d2,Cemetery_Present,"Eris: If it weren't for his disposition,[p/] Wallace would be quite the person to fear.",
line:0d8f5cd,Cemetery_Present,Tyrion: What do you mean?,
line:06430ed,Cemetery_Present,Eris: It's clear to the three of [i]us[/i] that he didn't commit the murder.,
line:0e346ec,Cemetery_Present,Eris: But think about how easily he [i]could[/i] have done what he was accused of.,
line:0807245,Cemetery_Present,"Eris: He could instantly kill anyone using [b]Necrotic Blight[/b],[p/] and he could even raise them as undead using [b]Animate Corpse[/b].",
line:05604db,Cemetery_Present,Tyrion: But Wallace would never do something like that.,
line:086b362,Cemetery_Present,Eris: [i]*sigh*[/i][p/] I agree.,
line:09ce334,Cemetery_Present,Eris: But one can often be surprised by what someone can do if they are pushed far enough.,
line:05809c2,Cemetery_Present,Eris: It really makes me wonder how idiotic the people who bully him are.,
