NAME,TEXT,TRANSLATION,COMMENTS
Remap Header,"Remapping Input for: ",,"Shown when the player tries to remap in input in the Settings Menu"
Remap Message,"Press any button to remap this Input.",,"Shown when the player tries to remap in input in the Settings Menu"
Clear Header,"Clearing Input for: ",,"Shown when the player tries to remap in input in the Settings Menu"
Clear Message,"Are you sure you want to clear this input?",,"Shown when the player tries to remap in input in the Settings Menu"
Title Screen Header,"Return to the Title Screen?",,"Shown when the player attempts to return to the title screen."
Title Screen Message,"You may lose unsaved progress.",,"Shown when the player attempts to return to the title screen."
Quit Game Header,"Close the application?",,"Shown when the player attempts to close the application."
Quit Game Message,"You may lose unsaved progress.",,"Shown when the player attempts to close the application."
Save Header,"Save data to this slot?",,"Shown when the player attempts to save on the Save Menu"
Save Message,"You will overwrite any data stored at this slot.",,"Shown when the player attempts to save on the Save Menu"
Delete Save Header,"Delete save data from this slot?",,"Shown when the player attempts to delete a save on the Save Menu"
Delete Save Message,"This cannot be undone.",,"Shown when the player attempts to delete a save on the Save Menu"
Load Save Header,"Load saved data from this slot?",,"Shown when the player attempts to load a save on the Save Menu"
Load Save Message,"You may lose unsaved progress.",,"Shown when the player attempts to load a save on the Save Menu"
Argument Start Header,"Start ARGUMENT?",,"Shown when the player is about to start an ARGUMENT during an investigation"
Argument Start Message,"Start an ARGUMENT with /x/?",,"Shown when the player is about to start an ARGUMENT during an investigation"
Argument No Profile,"The Psychological Profile is incomplete.",,"Shown when the player is about to start an ARGUMENT during an investigation. This message is added when the player hasn't completed the opponent's psychological profile."
Argument Fail Header,"Argument Failed",,"Shown when the player fails an Argument against an opponent"
Argument Fail Message,"You failed to persuade your opponent...",,"Shown when the player fails an Argument against an opponent"
Final Fail Header,"Dispositions Failed",,"Shown when the player fails the final Argument against the Empress of Discord."
Final Fail Message,"Your soul has been claimed by the Abyss...",,"Shown when the player fails the final Argument against the Empress of Discord."
Delete Steam Header,"Delete Workshop Item?",,"Shown when the player tries to delete a Steam Workshop Item."
Act Break Header,"Save your progress?",,"Shown when the game moves to the next session of a Case and prompts the player to save."
Act Break Message,"Would you like to save your progress?",,"Shown when the game moves to the next session of a Case and prompts the player to save."
New Game Header,"Play Episode?",,"Shown when the player attempts to start a Case from a fresh save file."
New Game Message,"You are about to start \n/x/.",,"Shown when the player attempts to start a Case from a fresh save file."
Demo Episode Header,"Episode Unavailable",,"Shown in the demo when the player attempts to start Cases 2-5."
Demo Episode Message,"You must purchase the full game to play this episode.",,"Shown in the demo when the player attempts to start Cases 2-5."
